iter	Passed	Remaining
409	4299	6187
410	4308	6174
411	4317	6162
412	4328	6152
413	4338	6140
414	4349	6131
415	4363	6125
416	4374	6115
417	4384	6105
418	4395	6094
419	4405	6083
420	4414	6071
421	4425	6061
422	4438	6054
423	4450	6045
424	4461	6036
425	4473	6028
426	4487	6021
427	4497	6010
428	4507	5999
429	4517	5988
430	4529	5980
431	4539	5968
432	4549	5957
433	4559	5946
434	4570	5936
435	4579	5923
436	4589	5912
437	4599	5901
438	4612	5894
439	4625	5886
440	4634	5874
441	4648	5868
442	4661	5860
443	4673	5852
444	4682	5839
445	4692	5828
446	4703	5819
447	4712	5806
448	4726	5799
449	4737	5790
450	4747	5778
451	4757	5767
452	4770	5760
453	4781	5750
454	4792	5740
455	4803	5730
456	4813	5718
457	4826	5711
458	4837	5701
459	4847	5689
460	4858	5680
461	4871	5672
462	4884	5665
463	4894	5654
464	4904	5642
465	4915	5632
466	4932	5629
467	4960	5639
468	4972	5629
469	4981	5617
470	4993	5608
471	5002	5595
472	5015	5588
473	5033	5585
474	5046	5577
475	5055	5565
476	5066	5554
477	5077	5545
478	5087	5533
479	5099	5524
480	5108	5512
481	5119	5501
482	5131	5493
483	5141	5481
484	5152	5471
485	5163	5460
486	5173	5449
487	5182	5437
488	5192	5426
489	5204	5416
490	5213	5404
491	5225	5395
492	5236	5385
493	5247	5374
494	5258	5364
495	5271	5356
496	5283	5347
497	5294	5337
498	5303	5325
499	5313	5313
500	5325	5304
501	5334	5291
502	5343	5279
503	5351	5266
504	5360	5254
505	5370	5243
506	5379	5231
507	5389	5219
508	5397	5207
509	5407	5195
510	5418	5185
511	5429	5175
512	5440	5164
513	5449	5153
514	5459	5141
515	5468	5129
516	5479	5119
517	5489	5108
518	5500	5097
519	5509	5085
520	5520	5075
521	5529	5063
522	5539	5052
523	5550	5041
524	5559	5029
525	5568	5017
526	5580	5008
527	5590	4997
528	5600	4986
529	5612	4977
530	5624	4967
531	5634	4956
532	5644	4945
533	5655	4935
534	5665	4924
535	5676	4913
536	5686	4902
537	5696	4892
538	5709	4883
539	5719	4872
540	5730	4862
541	5741	4851
542	5751	4840
543	5761	4829
544	5771	4818
545	5780	4806
546	5791	4795
547	5802	4786
548	5817	4779
549	5829	4769
550	5839	4758
551	5851	4748
552	5864	4740
553	5876	4731
554	5887	4720
555	5897	4709
556	5910	4700
557	5919	4689
558	5929	4678
559	5942	4669
560	5955	4660
561	5966	4650
562	5979	4641
563	5990	4630
564	6002	4621
565	6014	4611
566	6028	4603
567	6040	4594
568	6051	4583
569	6063	4574
570	6077	4565
571	6088	4555
572	6097	4543
573	6106	4532
574	6123	4526
575	6137	4517
576	6147	4506
577	6159	4497
578	6171	4487
579	6182	4476
580	6195	4467
581	6205	4456
582	6216	4446
583	6227	4436
584	6240	4426
585	6251	4416
586	6263	4407
587	6275	4397
588	6285	4385
589	6297	4376
590	6313	4369
591	6323	4357
592	6332	4346
593	6344	4336
594	6356	4326
595	6366	4315
596	6377	4305
597	6387	4294
598	6397	4283
599	6406	4270
600	6416	4260
601	6426	4248
602	6435	4237
603	6444	4225
604	6453	4213
605	6462	4201
606	6473	4191
607	6484	4180
608	6495	4170
609	6508	4161
610	6521	4151
611	6533	4142
612	6543	4130
613	6554	4120
614	6565	4109
615	6577	4100
616	6587	4089
617	6597	4078
618	6608	4067
619	6621	4058
620	6633	4048
621	6642	4036
622	6656	4027
623	6667	4017
624	6677	4006
625	6688	3996
626	6698	3984
627	6715	3977
628	6731	3970
629	6740	3958
630	6753	3949
631	6764	3938
632	6774	3927
633	6782	3915
634	6791	3903
635	6800	3891
636	6810	3881
637	6819	3869
638	6829	3858
639	6837	3846
640	6846	3834
641	6855	3822
642	6864	3811
643	6873	3799
644	6883	3788
645	6893	3777
646	6902	3766
647	6929	3764
648	6950	3759
649	6959	3747
650	6969	3736
651	6977	3724
652	6986	3712
653	6994	3700
654	7004	3689
655	7014	3678
656	7024	3667
657	7033	3655
658	7042	3644
659	7051	3632
660	7061	3621
661	7071	3610
662	7082	3599
663	7092	3589
664	7101	3577
665	7111	3566
666	7121	3555
667	7130	3543
668	7141	3533
669	7153	3523
670	7163	3512
671	7174	3501
672	7183	3490
673	7193	3479
674	7202	3468
675	7212	3457
676	7223	3446
677	7232	3434
678	7242	3423
679	7251	3412
680	7260	3400
681	7269	3389
682	7278	3378
683	7286	3366
684	7295	3355
685	7306	3344
686	7317	3333
687	7327	3322
688	7338	3312
689	7347	3301
690	7357	3290
691	7367	3279
692	7378	3268
693	7388	3257
694	7397	3246
695	7408	3235
696	7420	3225
697	7429	3214
698	7441	3204
699	7451	3193
700	7461	3182
701	7471	3171
702	7480	3160
703	7489	3148
704	7497	3137
705	7507	3126
706	7515	3114
707	7526	3103
708	7537	3093
709	7547	3082
710	7557	3071
711	7567	3061
712	7578	3050
713	7588	3039
714	7600	3029
715	7610	3018
716	7619	3007
717	7629	2996
718	7638	2985
719	7648	2974
720	7656	2962
721	7666	2951
722	7675	2940
723	7685	2929
724	7694	2918
725	7705	2908
726	7714	2896
727	7722	2885
728	7733	2874
729	7743	2864
730	7753	2853
731	7763	2842
732	7772	2831
733	7780	2819
734	7788	2808
735	7801	2798
736	7811	2787
737	7820	2776
738	7829	2765
739	7838	2754
740	7850	2743
741	7864	2734
742	7876	2724
743	7886	2713
744	7907	2706
745	7923	2697
746	7937	2688
747	7952	2679
748	7962	2668
749	7975	2658
750	7987	2648
751	8001	2638
752	8013	2628
753	8023	2617
754	8034	2607
755	8046	2597
756	8057	2586
757	8068	2576
758	8080	2565
759	8089	2554
760	8101	2544
761	8111	2533
762	8121	2522
763	8130	2511
764	8141	2501
765	8153	2490
766	8163	2479
767	8174	2469
768	8184	2458
769	8195	2448
770	8207	2437
771	8217	2427
772	8229	2416
773	8240	2406
774	8255	2396
775	8266	2386
776	8276	2375
777	8285	2364
778	8296	2353
779	8307	2343
780	8316	2332
781	8328	2321
782	8343	2312
783	8358	2302
784	8369	2292
785	8380	2281
786	8391	2271
787	8404	2261
788	8414	2250
789	8424	2239
790	8434	2228
791	8444	2217
792	8453	2206
793	8463	2195
794	8473	2184
795	8482	2174
796	8495	2163
797	8507	2153
798	8518	2142
799	8527	2131
800	8537	2121
801	8551	2111
802	8564	2101
803	8576	2090
804	8587	2080
805	8599	2069
806	8610	2059
807	8622	2048
808	8633	2038
809	8643	2027
810	8654	2016
811	8665	2006
812	8677	1995
813	8687	1985
814	8700	1975
815	8710	1964
816	8721	1953
817	8730	1942
818	8740	1931
819	8750	1920
820	8762	1910
821	8776	1900
822	8787	1889
823	8805	1880
824	8817	1870
825	8830	1860
826	8839	1849
827	8849	1838
828	8858	1827
829	8868	1816
830	8880	1805
831	8893	1795
832	8921	1788
833	8939	1779
834	8952	1769
835	8964	1758
836	8976	1748
837	8987	1737
838	8999	1726
839	9010	1716
840	9019	1705
841	9029	1694
842	9038	1683
843	9047	1672
844	9058	1661
845	9068	1650
846	9077	1639
847	9086	1628
848	9097	1617
849	9106	1607
850	9116	1596
851	9127	1585
852	9137	1574
853	9146	1563
854	9157	1553
855	9168	1542
856	9178	1531
857	9193	1521
858	9204	1510
859	9214	1500
860	9224	1489
861	9234	1478
862	9243	1467
863	9256	1456
864	9264	1445
865	9272	1434
866	9280	1423
867	9289	1412
868	9300	1401
869	9310	1391
870	9319	1380
871	9329	1369
872	9337	1358
873	9346	1347
874	9354	1336
875	9366	1325
876	9379	1315
877	9392	1305
878	9403	1294
879	9413	1283
880	9422	1272
881	9431	1261
882	9440	1250
883	9449	1240
884	9458	1229
885	9467	1218
886	9476	1207
887	9486	1196
888	9495	1185
889	9506	1174
890	9515	1164
891	9525	1153
892	9534	1142
893	9543	1131
894	9551	1120
895	9560	1109
896	9577	1099
897	9591	1089
898	9601	1078
899	9610	1067
900	9619	1056
901	9628	1046
902	9638	1035
903	9648	1024
904	9656	1013
905	9665	1002
906	9674	992
907	9685	981
908	9693	970
909	9704	959
910	9713	948
911	9722	938
912	9732	927
913	9741	916
914	9750	905
915	9759	894
916	9767	884
917	9776	873
918	9786	862
919	9797	851
920	9810	841
921	9819	830
922	9829	820
923	9838	809
924	9847	798
925	9857	787
926	9867	777
927	9877	766
928	9891	755
929	9912	746
930	9933	736
931	9943	725
932	9953	714
933	9962	703
934	9971	693
935	9986	682
936	10000	672
937	10009	661
938	10019	650
939	10028	640
940	10037	629
941	10046	618
942	10055	607
943	10063	596
944	10072	586
945	10082	575
946	10093	564
947	10102	554
948	10111	543
949	10120	532
950	10129	521
951	10138	511
952	10146	500
953	10156	489
954	10165	479
955	10176	468
956	10187	457
957	10197	447
958	10207	436
959	10219	425
960	10227	415
961	10237	404
962	10246	393
963	10255	382
964	10264	372
965	10272	361
966	10282	350
967	10293	340
968	10302	329
969	10313	318
970	10321	308
971	10330	297
972	10340	286
973	10349	276
974	10358	265
975	10368	254
976	10378	244
977	10388	233
978	10401	223
979	10413	212
980	10423	201
981	10432	191
982	10441	180
983	10450	169
984	10461	159
985	10471	148
986	10480	138
987	10491	127
988	10500	116
989	10514	106
990	10527	95
991	10537	84
992	10547	74
993	10555	63
994	10564	53
995	10573	42
996	10583	31
997	10594	21
998	10609	10
999	10620	0
