iter	RMSE
334	189526.4156
335	189345.9171
336	189162.7589
337	188901.3289
338	188705.5204
339	188519.554
340	188343.3102
341	188173.5751
342	187965.6178
343	187705.8132
344	187504.5308
345	187340.2491
346	187136.9271
347	186984.362
348	186829.3683
349	186674.4283
350	186514.237
351	186361.5391
352	186188.0719
353	185926.7846
354	185691.8151
355	185529.5816
356	185343.992
357	185185.2761
358	185039.7844
359	184893.6461
360	184711.5381
361	184584.4896
362	184439.2359
363	184300.2555
364	184151.9218
365	183992.0694
366	183861.7186
367	183691.9432
368	183504.7914
369	183359.3206
370	183203.9308
371	183065.396
372	182841.2579
373	182719.3704
374	182580.5485
375	182437.0857
376	182298.5125
377	182045.4051
378	181944.7868
379	181833.5321
380	181669.306
381	181560.8122
382	181471.7652
383	181340.3269
384	181117.6581
385	180979.5612
386	180846.1865
387	180692.1078
388	180566.0853
389	180423.4563
390	180317.9955
391	180137.6848
392	179979.0217
393	179875.6973
394	179764.9881
395	179596.4399
396	179477.5708
397	179391.4482
398	179164.954
399	179044.8447
400	178921.8662
401	178756.3378
402	178634.3371
403	178512.0204
404	178409.1467
405	178332.0685
406	178241.5045
407	178060.3933
408	177946.3675
409	177806.9136
410	177687.2144
411	177579.2191
412	177424.0566
413	177339.8215
414	177226.3448
415	177107.6766
416	177042.298
417	176889.9727
418	176761.8817
419	176650.471
420	176522.5337
421	176450.5365
422	176393.4356
423	176283.8649
424	176155.3069
425	176068.6605
426	175880.465
427	175789.7495
428	175650.5788
429	175472.9072
430	175400.878
431	175286.744
432	175188.3108
433	175089.2587
434	174994.5661
435	174870.9226
436	174758.297
437	174689.0518
438	174581.1495
439	174477.733
440	174393.7653
441	174270.2147
442	174119.7169
443	173955.9529
444	173882.6879
445	173695.4925
446	173558.8338
447	173461.3794
448	173375.5322
449	173293.3547
450	173195.2261
451	173100.8939
452	173036.1247
453	172954.6483
454	172876.8234
455	172790.7407
456	172721.1871
457	172661.9736
458	172539.7906
459	172468.0607
460	172331.2186
461	172258.8969
462	172203.0319
463	172108.4199
464	172020.8975
465	171915.4616
466	171862.6573
467	171787.0349
468	171693.8686
469	171630.2116
470	171538.9274
471	171468.2279
472	171383.7468
473	171309.7773
474	171139.08
475	171084.4501
476	171034.8523
477	170974.5941
478	170892.4814
479	170766.2744
480	170702.771
481	170652.0346
482	170491.2161
483	170439.5776
484	170323.9507
485	170263.2352
486	170210.2471
487	170166.0695
488	170045.0366
489	169896.3691
490	169858.3616
491	169771.4008
492	169710.2589
493	169537.1705
494	169455.3167
495	169300.3282
496	169239.7507
497	169136.4527
498	169060.815
499	168901.6367
500	168754.7386
501	168704.8938
502	168627.2911
503	168558.2641
504	168498.5015
505	168423.7135
506	168343.5678
507	168288.944
508	168205.1669
509	168127.5179
510	168051.9118
511	167948.1447
512	167878.6164
513	167820.047
514	167747.1889
515	167678.2959
516	167630.4058
517	167573.6947
518	167473.0389
519	167362.6745
520	167302.7694
521	167265.2603
522	167203.637
523	167097.1758
524	167035.7978
525	166998.1272
526	166942.4926
527	166876.7392
528	166816.5982
529	166731.7648
530	166666.7061
531	166607.206
532	166536.486
533	166482.7434
534	166427.3262
535	166365.5536
536	166314.2485
537	166193.9399
538	166047.6591
539	165988.0168
540	165908.2204
541	165851.3939
542	165785.1893
543	165722.4232
544	165655.2364
545	165596.5326
546	165463.6162
547	165386.8993
548	165318.7072
549	165246.1786
550	165174.5265
551	165096.0538
552	165042.3461
553	164944.1234
554	164902.068
555	164860.8184
556	164791.2397
557	164746.9322
558	164672.9239
559	164551.5817
560	164485.8298
561	164423.82
562	164298.7818
563	164250.0628
564	164180.9948
565	164141.5304
566	164065.1468
567	163988.9158
568	163897.5666
569	163815.1361
570	163744.2625
571	163652.1108
572	163605.2986
573	163574.2664
574	163553.6696
575	163499.7754
576	163471.0208
577	163419.8379
578	163372.8728
579	163316.006
580	163260.3611
581	163229.7994
582	163172.3789
583	163128.5394
584	163023.9064
585	162934.257
586	162813.6963
587	162733.834
588	162644.1426
589	162582.6872
590	162516.4666
591	162477.3983
592	162430.9472
593	162353.3349
594	162287.5439
595	162247.1797
596	162193.4908
597	162156.5301
598	162095.4128
599	162034.8938
600	161989.06
601	161948.8375
602	161903.7281
603	161863.4838
604	161837.7032
605	161784.5619
606	161719.7695
607	161646.1218
608	161591.5014
609	161531.8175
610	161491.6149
611	161425.371
612	161398.0269
613	161324.9559
614	161267.3266
615	161211.8252
616	161142.3041
617	161116.4707
618	161076.0898
619	161041.6842
620	160994.6985
621	160944.7833
622	160900.3399
623	160840.8778
624	160796.4703
625	160769.6417
626	160723.2043
627	160685.645
628	160544.8526
629	160511.3403
630	160464.2243
631	160415.4975
632	160376.9913
633	160343.624
634	160321.1944
635	160286.8229
636	160223.3911
637	160162.5344
638	160135.161
639	160070.5457
640	160033.5979
641	160003.3596
642	159947.276
643	159916.793
644	159870.0701
645	159821.0528
646	159761.9327
647	159659.7373
648	159628.0853
649	159565.0572
650	159532.5456
651	159468.5917
652	159406.3507
653	159383.6545
654	159352.9016
655	159313.0502
656	159278.3356
657	159224.189
658	159174.8457
659	159128.2009
660	159034.2955
661	158990.4267
662	158960.4125
663	158936.2203
664	158919.4164
665	158880.4021
666	158749.5907
667	158715.9439
668	158640.66
669	158530.2761
670	158438.6273
671	158383.7778
672	158276.1668
673	158243.0666
674	158209.6293
675	158190.5932
676	158097.653
677	158036.5322
678	157984.7069
679	157908.5796
680	157885.5848
681	157851.231
682	157769.8292
683	157742.3985
684	157717.4763
685	157672.3263
686	157630.9219
687	157596.452
688	157529.7539
689	157436.44
690	157402.3254
691	157349.7329
692	157316.4917
693	157285.1257
694	157263.8348
695	157211.7572
696	157161.6577
697	157056.9245
698	157009.091
699	156950.1263
700	156917.4741
701	156895.1527
702	156870.5551
703	156816.0427
704	156799.492
705	156763.0781
706	156720.4662
707	156702.6871
708	156652.0489
709	156631.0874
710	156605.2282
711	156536.2258
712	156472.2418
713	156422.3117
714	156406.2909
715	156298.8333
716	156272.6767
717	156255.0838
718	156229.3558
719	156170.6136
720	156115.6398
721	156090.2848
722	156012.8484
723	155969.387
724	155923.6199
725	155887.3508
726	155834.51
727	155785.4105
728	155752.5997
729	155717.0481
730	155637.9455
731	155607.5707
732	155589.3875
733	155554.1481
734	155531.2476
735	155479.9149
736	155436.7318
737	155347.3204
738	155309.1734
739	155274.7978
740	155236.6447
741	155217.5617
742	155162.3737
743	155141.4124
744	155120.7829
745	155077.941
746	155040.7942
747	155006.0574
748	154959.3285
749	154920.3054
750	154878.7275
751	154862.3335
752	154819.9059
753	154783.4346
754	154754.3915
755	154725.6756
756	154686.1556
757	154621.9493
758	154588.6379
759	154570.3518
760	154538.921
761	154504.7221
762	154490.0212
763	154473.3318
764	154401.9679
765	154364.6226
766	154324.0289
767	154258.7505
768	154234.1593
769	154198.2942
770	154164.0649
771	154107.5051
772	154057.0006
773	154020.0064
774	153985.8948
775	153944.9465
776	153914.3156
777	153894.8053
778	153865.1246
779	153775.9937
780	153743.544
781	153695.2345
782	153668.9727
783	153584.1212
784	153552.1642
785	153526.1112
786	153497.2467
787	153469.1449
788	153444.1531
789	153410.8078
790	153373.309
791	153278.3423
792	153244.5746
793	153214.229
794	153168.2592
795	153140.274
796	153104.9482
797	153069.7627
798	153050.5916
799	153020.7656
800	152990.3362
801	152933.9289
802	152890.873
803	152876.5395
804	152837.5448
805	152820.836
806	152801.1738
807	152779.9674
808	152763.0538
809	152735.0184
810	152649.9227
811	152597.2922
812	152567.7093
813	152553.6754
814	152534.4583
815	152488.0282
816	152465.5836
817	152436.4561
818	152410.1969
819	152384.7156
820	152298.8295
821	152274.1955
822	152242.5767
823	152161.0507
824	152110.6708
825	152014.8498
826	151989.7702
827	151955.7895
828	151934.3912
829	151913.7674
830	151874.1426
831	151837.7423
832	151822.4392
833	151788.1926
834	151767.2624
835	151749.3262
836	151675.3587
837	151649.2236
838	151616.1955
839	151588.0641
840	151551.1169
841	151526.5569
842	151509.9707
843	151437.9992
844	151339.9889
845	151301.1043
846	151279.8815
847	151261.588
848	151236.8324
849	151179.7371
850	151122.7052
851	151105.6165
852	151076.2455
853	151060.0032
854	151044.3699
855	151031.0671
856	150996.1772
857	150951.7751
858	150912.3166
859	150842.7436
860	150775.7991
861	150744.963
862	150732.6024
863	150703.3249
864	150676.2869
865	150663.4049
866	150639.036
867	150610.9628
868	150577.8569
869	150555.2599
870	150479.373
871	150446.6285
872	150440.151
873	150417.3596
874	150404.8027
875	150356.5953
876	150321.774
877	150304.7062
878	150276.0908
879	150235.1268
880	150213.0731
881	150200.2455
882	150178.3077
883	150159.4661
884	150119.996
885	150071.5348
886	150060.321
887	149968.747
888	149940.8512
889	149925.4314
890	149844.9668
891	149826.6194
892	149803.3083
893	149777.9763
894	149765.0574
895	149751.7224
896	149726.0481
897	149706.4401
898	149673.8431
899	149662.0746
900	149626.3583
901	149611.9463
902	149588.8443
903	149561.1767
904	149546.7028
905	149513.1027
906	149490.8902
907	149400.6949
908	149383.3208
909	149336.6448
910	149304.2035
911	149279.1574
912	149242.0784
913	149227.9659
914	149192.4166
915	149174.2783
916	149153.5237
917	149134.89
918	149101.3507
919	149075.8868
920	149037.3892
921	149026.7506
922	148968.98
923	148936.4766
924	148910.2596
925	148870.5576
926	148827.2756
927	148754.8255
928	148736.7169
929	148724.6444
930	148689.9358
931	148676.9248
932	148607.4998
933	148567.4607
934	148547.4778
935	148472.8381
936	148456.9815
937	148446.2336
938	148416.0296
939	148396.3362
940	148338.4137
941	148318.3362
942	148302.8197
943	148277.373
944	148261.9445
945	148240.4864
946	148205.6171
947	148173.6939
948	148130.0487
949	148110.5942
950	148093.9196
951	148061.3265
952	148041.9605
953	148023.2941
954	147982.5461
955	147948.3895
956	147936.8214
957	147926.5816
958	147878.9736
959	147817.9098
960	147797.5946
961	147768.1668
962	147758.0359
963	147723.6726
964	147710.192
965	147687.7369
966	147668.7461
967	147610.2464
968	147598.9579
969	147573.7738
970	147555.8682
971	147539.771
972	147490.8907
973	147461.8132
974	147454.509
975	147423.8367
976	147398.3755
977	147370.5339
978	147343.9823
979	147331.6068
980	147275.2843
981	147249.4851
982	147230.9691
983	147213.3268
984	147164.3574
985	147133.5628
986	147118.8895
987	147096.7352
988	147084.29
989	147068.7727
990	147038.7951
991	147025.3688
992	146996.3978
993	146984.6653
994	146960.8947
995	146935.1803
996	146924.3122
997	146908.9413
998	146853.4003
999	146846.238
